protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,abnormal_url,web_traffic,domain_registration_length,age_of_domain,dns_record,statistical_report
http,www.livinglegendsltd.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,voicechasers.com,forum/viewforum.php?f=8,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,hollywoodcollectorshow.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.geocities.com,hollywood/hills/8944/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,asifa.proboards61.com,index.cgi?action=calendarviewall,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,groups.yahoo.com,group/voice_actor_appreciation/cal///group/voice_actor_appreciation/?v=42&amp;pos=,1,0,0,0,0,0,0,1,1,0,1,1,1,0
http,us.imdb.com,name/nm0267724/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.pamelynferdin.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.pamferdin.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.monkeydog.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,teamknightrider.com,cast/plato/plato.html,0,0,0,0,0,0,0,1,1,1,1,1,1,1
http,us.imdb.com,name/nm0281486/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,anp.awn.com,anifest-3.html,0,0,0,0,0,0,0,1,1,0,1,1,1,1
http,www.awn.com,mag/issue1.7/articles/kowlaskidi1.7.html,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.awn.com,mag/issue2.7/2.7pages/2.7jacksonjones.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.awn.com,mag/issue1.9/articles/kowlagrinch1.9.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,us.imdb.com,name/nm0004931/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.voicechasers.com,database/showactor.php?actorid=1251,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.vortex.com,av.html#jayward1,0,0,0,0,0,0,1,1,1,2,1,1,1,0
http,starbulletin.com,96/07/11/features/story3.html,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,anp.awn.com,juneforay.html,0,0,0,0,0,0,0,1,1,0,1,1,1,1
http,www.cerias.purdue.edu,homes/spaf/yucks/v2/msg00061.html,0,0,0,0,2,0,0,1,1,0,1,1,1,0
http,www.awn.com,mag/issue5.03/5.03pages/evanierforay.php3,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.awn.com,mag/issue4.02/4.02pages/foraylittlejohn.php3,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,archives.seattletimes.nwsource.com,cgi-bin/texis.cgi/web/vortex/display?slug=voic29&amp;date=20000629,2,0,0,0,2,0,0,1,1,2,1,1,1,0
http,www.geocities.com,enchantedforest/dell/8545/fraley.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,us.imdb.com,name/nm0289710/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.voicechasers.com,database/showactor.php?actorid=1133,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,patfraley.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,nerf-herders-anonymous.net,patfraley.html,0,0,0,1,0,0,0,1,1,2,1,1,1,0
http,www.vasta.org,professional_index/fraleyp.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,news.toonzone.net,2000/oct/27/hearing_voices.php#pat_on_the_head,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,members.tripod.com,~leemichaelwithers/sfh.htm,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.radiospirits.com,onradio/meethost_sf.asp,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,us.imdb.com,name/nm0292677/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,freberg.westnet.com,,0,0,0,0,0,0,1,1,1,2,1,1,1,0
http,www.aarp.org,mmaturity/mar_apr00_preview/creators.html#freberg,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.cosmik.com,aa-october99/stan_freberg.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
